id,below_poverty,total
12055,15787,96329
12057,154491,1147842
12059,3284,17298
12061,15898,130724
12063,8890,42036
12065,2692,13210
12067,1323,7336
12069,30395,294125
12071,59147,565371
12073,53788,250091
12075,7156,37533
12077,1458,6390
12079,3782,16892
12081,36015,308850
12083,43102,310948
12085,14420,135843
12086,404051,2397862
12087,7495,73037
12089,5746,67321
12091,18144,175051
12093,7137,38444
12095,132181,1044019
12097,33336,251449
12099,143498,1248550
12101,52203,447610
12103,103906,897102
12105,79452,552555
12107,16127,70919
12109,12805,172472
12111,30247,252294
12113,14811,143431
12115,35441,361600
12117,38222,405587
12119,9275,62379
12121,6814,37977
12123,4376,19142
12125,1970,11352
12127,62975,479430
12129,3630,27626
12131,6547,49857
12133,4497,21438
13000,1384518,9228265
13001,3966,17716
13003,2374,8115
13005,1340,10055
13007,867,3810
13009,8843,39131
13011,2430,16369
13013,8911,66041
13015,13417,91351
13017,4252,16906
13019,3566,16082
13021,32332,148399
13023,2281,11897
13025,2663,15303
13027,2614,15869
13029,2954,30033
13031,15874,61335
13033,5174,22170
13035,2689,21579
13037,1236,4642
13039,6128,45552
13043,2076,9956
13045,17441,107571
13047,6666,61495
13049,1748,9709
13051,36789,240664
13053,1616,9710
13055,4831,25217
13057,14215,199608
13059,34359,104059
13061,797,3035
13063,38358,264243
13065,1776,6889
13067,64305,682869
13069,8351,37723
13071,10006,43838
13073,7041,107224
13075,3397,16002
13077,11991,117184
13079,2788,12490
13081,6402,21593
13083,2347,15197
13085,2322,21167
13087,6062,27279
13089,110290,716209
13091,3805,17048
13093,2553,9292
13095,23294,92286
13097,13260,121543
13099,3111,11536
13101,1323,4157
13103,5310,50121
13105,4313,20461
13107,5369,21617
13109,2544,10840
13111,3014,22326
13113,4519,104491
13115,17169,91050
13117,8525,156987
13119,3689,21516
13121,147908,960205
13123,5988,27898
13125,456,2652
13127,11002,73270
13129,8042,50721
13131,5455,24632
13133,3292,15398
13135,72319,759619
13137,6622,37314
13139,23834,173156
13141,1741,8016
13143,5195,27606
13145,2876,28280
13147,4629,23508
13149,2022,11305
13151,13097,181579
13153,15723,128426
13155,3095,9646
13157,8524,58019
13159,2298,13485
13161,2932,13205
13163,4547,16058
13165,1725,8432
13167,2086,7723
13169,3861,26504
13171,3438,16403
13173,1503,7576
13175,10158,46384
13177,2586,31867
13179,10316,59108
13181,1828,7967
13183,1900,11097
13185,19446,97887
13187,3803,24637
13189,4645,21203
13191,1966,11242
13193,3539,11677
13195,4602,27281
13197,2021,7000
13199,3736,21504
13201,1046,5954
13205,4655,22338
13207,2758,23303
13209,1602,7927
13211,2571,17627
13213,6477,40306
13215,32042,171143
13217,10572,92160
13219,2168,31372
13221,2386,13917
13223,10351,125082
13225,5393,23449
13227,3264,29695
13229,3133,17478
13231,1760,16725
13233,6837,40617
13235,2071,8701
13237,2714,19806
13239,497,2637
13241,2616,16272
13243,1776,6819
13245,41537,185244
13247,9581,80371
13249,737,4129
13251,2582,14631
13253,1659,8880
13255,11933,62159
13257,3809,24214
13259,1048,4453
13261,7845,31278
13263,1771,6487
13265,654,1837
13267,4059,20729
13269,2913,8126
13271,2826,10242
13273,3071,9715
13275,9266,43730
13277,10202,41166
13279,7923,27193
13281,976,10136
13283,1950,6626
13285,11421,60931
13287,2190,8441
13289,1877,10245
13291,2687,20126
13293,5762,26960
13295,9459,62637
13297,9579,81187
13299,6915,33227
13301,1119,5787
13303,4744,18939
13305,4587,26505
13307,427,2203
13309,1284,5126
13311,4962,24414
13313,16751,91162
13315,1806,6862
13317,2353,10118
13319,2610,9597
13321,4515,21077
15000,117745,1250787
15001,22825,168775
15003,77934,878679
15005,3,78
15007,5910,62369
15009,11073,140886
16000,196121,1457590
16001,33834,358481
16003,402,3479
16005,11796,78558
16007,768,5852
16009,1360,9191
16011,6564,43105
16013,2308,21715
16015,931,7320
16017,5399,40163
16019,9804,94982
16021,1995,10664
16023,441,2760
16025,163,1027
16027,29174,172815
16029,575,6692
16031,3435,20926
16033,155,984
16035,874,7615
16037,492,4129
16039,3192,28009
16041,1755,12241
16043,1292,12495
16045,2040,15948
16047,2265,14286
16049,2723,14648
16051,2453,22791
16053,2435,19830
16055,14721,131607
16057,7685,33612
16059,1234,7722
16061,514,3616
16063,677,4472
16065,11977,34710
16067,2471,18392
16069,5372,37406
16071,587,4136
16073,2234,10910
16075,3109,22459
16077,1194,7689
16079,2198,12512
16081,683,8306
16083,10028,71024
16085,1391,8610
16087,1421,9701
17000,1549172,12451259
17001,8139,64031
17003,1917,7940
17005,2296,17573
17007,5084,51881
17009,604,4466
17011,3948,34318
17013,668,5061
17015,1717,15480
17017,1766,12684
17019,35488,172554
17021,4862,32492
17023,1932,16192
17025,2005,13531
17027,2827,33740
17029,9468,43389
17031,781017,5169821
17033,3174,18921
17035,1355,10676
17037,14323,94445
17039,1453,16105
17041,1481,19047
17043,48317,908911
17045,2462,18148
17047,689,6435
17049,3482,33763
17051,3696,20823
17053,1108,13190
17055,7068,38572
17057,4626,33892
17059,1009,5723
17061,1965,13487
17063,2727,46100
17065,934,8186
17067,2300,18460
17069,734,4318
17071,871,7409
17073,5203,48532
17075,2965,27787
17077,15412,52005
17079,954,9422
17081,6359,37609
17083,1795,21430
17085,2158,21754
17087,1521,10911
17089,43091,488092
17091,15826,107289
17093,3227,93247
17095,7556,47418
17097,46040,686154
17099,11719,110143
17101,2266,13877
17103,3100,33601
17105,3925,34195
17107,2513,23509
17109,5841,25931
17111,17334,311121
17113,20636,151849
17115,15923,105100
17117,5248,45889
17119,31368,258089
17121,6669,38830
17123,1172,12458
17125,2220,14839
17127,2191,14631
17129,1082,12189
17131,1217,16064
17133,1292,31946
17135,3783,26806
17137,5209,31899
17139,1662,13830
17141,4427,53903
17143,24615,176784
17145,2676,19756
17147,1171,16151
17149,2411,15919
17151,652,4071
17153,1771,6304
17155,639,5953
17157,3558,28367
17159,2459,15508
17161,17901,141847
17163,38887,256368
17165,4686,25081
17167,25222,190660
17169,856,6633
17171,413,5204
17173,2204,21194
17175,691,5904
17177,5933,46158
17179,10033,127322
17181,3899,17506
17183,14365,78883
17185,1699,12046
17187,2322,16015
17189,1619,14555
17191,2434,16445
17193,1986,14353
17195,6399,57897
17197,41864,655023
17199,10324,62405
17201,42935,290304
17203,2132,36530
18000,810520,6144219
18001,5301,33373
18003,41114,340853
18005,7254,73283
18007,854,8629
18009,1603,13056
18011,3318,52628
18013,1531,14552
18015,1954,19574
18017,4939,38165
18019,11957,103421
18021,3494,26007
18023,4378,33107
18025,2202,10629
18027,4324,29704
18029,3160,48954
18031,2485,24415
18033,3641,41106
18035,21040,107318
18037,3265,40239
18039,25157,194283
18041,4905,23964
18043,7567,72096
18045,2123,16711
18047,2542,22807
18049,2529,19615
18051,3540,31836
18053,11154,64615
18055,5184,32256
18057,11949,259925
18059,3836,64606
18061,3422,36387
18063,7239,130863
18065,5680,45030
18067,12780,80429
18069,4020,36710
18071,5076,41483
18073,2924,30746
18075,2871,20846
18077,4310,30598
18079,3330,27764
18081,9916,132151
18083,6192,35702
18085,7103,74940
18087,5023,36624
18089,80108,484680
18091,12968,103432
18093,7031,45278
18095,16428,125335
18097,142361,857929
18099,5073,46121
18101,1289,10004
18103,5583,35185
18105,28273,113987
18107,3786,36534
18109,6122,69566
18111,1091,13701
18113,5070,46760
18115,440,5861
18117,4021,19060
18119,2731,21844
18121,2876,15014
18123,1854,17333
18125,1733,11999
18127,14293,156330
18129,2141,25905
18131,2098,13393
18133,3117,32610
18135,3143,25490
18137,2967,27013
18139,1952,16987
18141,34787,253429
18143,3665,23303
18145,4397,43338
18147,2267,19816
18149,3309,23202
18151,3864,32449
18153,2528,19048
18155,1260,9427
18157,30523,148000
18159,972,15547
18161,891,7069
18163,24957,167567
18165,2078,15552
18167,19063,96593
18169,3718,30854
18171,890,8244
18173,3596,56131
18175,4494,27448
18177,9863,66080
18179,2013,26770
18181,2455,23025
18183,2195,31976
19000,326922,2875698
19001,842,7482
19003,355,4020
19005,1532,13884
19007,2159,12826
19009,663,5949
19011,2105,26277
19013,20315,121070
19015,3030,25551
19017,1756,22241
19019,2211,20361
19021,2165,18428
19023,1542,14247
19025,1051,9187
19027,2055,20297
19029,2063,13323
19031,1366,17757
19033,4468,42687
19035,550,11463
19037,1157,12013
19039,948,8871
19041,1302,16208
19043,1940,17144
19045,5118,48535
19047,1817,16109
19049,3676,56595
19051,623,8417
19053,1413,7357
19055,1511,17270
19057,5221,40330
19059,1410,16200
19061,7279,87916
19063,1029,9674
19065,2572,19759
19067,2138,15721
19069,1076,10303
19071,712,7283
19073,761,9379
19075,781,12046
19077,850,10668
19079,1350,15208
19081,974,11090
19083,1938,16500
19085,1689,14960
19087,2614,19593
19089,1041,9107
19091,1100,9366
19093,622,6810
19095,1228,15396
19097,2208,19535
19099,3866,34233
19101,2477,14853
19103,22259,117330
19105,1838,18674
19107,1019,10482
19109,1319,15239
19111,4374,33257
19113,20232,199319
